,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
0,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
1,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
2,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,32990.0
3,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,49990.0
4,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,49990.0
5,HP,Windows,DDR4,8,Intel,Others,1,14.0,256,36990.0
6,DELL,Windows,DDR4,8,Intel,Others,1,15.6,1024,38990.0
7,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
8,Others,Windows,DDR4,8,Intel,Others,1,14.0,256,46990.0
9,ASUS,Windows,DDR4,16,AMD,AMD,1,14.0,512,44990.0
10,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,59990.0
11,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
12,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,256,32990.0
13,ASUS,Windows,DDR4,8,AMD,AMD,1,,512,52990.0
14,acer,Windows,DDR4,8,Intel,Others,1,,256,29990.0
15,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
16,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,47990.0
17,ASUS,Windows,DDR4,8,Intel,Others,1,,512,45990.0
18,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,512,47990.0
19,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
20,APPLE,Mac,DDR4,8,Others,Others,1,14.0,256,88990.0
21,HP,Windows,DDR4,8,Intel,Others,1,14.0,512,40990.0
22,Lenovo,Others,Others,4,Intel,Intel,1,15.6,256,19490.0
23,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
24,HP,Windows,DDR4,8,Intel,Others,1,,512,65990.0
25,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
26,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
27,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
28,acer,Windows,DDR4,16,Intel,Others,1,15.6,512,58990.0
29,Others,Windows,DDR4,8,Intel,Others,1,14.0,256,46990.0
30,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
31,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
32,acer,Windows,DDR4,8,AMD,AMD,1,,256,24990.0
33,acer,Windows,DDR4,8,AMD,AMD,1,15.6,512,47990.0
34,ASUS,Windows,DDR4,8,AMD,AMD,1,,512,73990.0
35,Lenovo,Windows,DDR4,8,Intel,Others,2,,512,53490.0
36,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
37,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
38,Lenovo,Windows,DDR4,8,Intel,Others,1,,512,51990.0
39,ASUS,Windows,DDR4,16,Intel,Others,1,,512,66990.0
40,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
41,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
42,acer,Windows,DDR4,16,AMD,AMD,1,,512,51990.0
43,HP,Windows,DDR4,8,AMD,AMD,1,14.0,256,25990.0
44,acer,Windows,DDR4,8,AMD,AMD,1,15.6,512,35990.0
45,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,43990.0
46,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
47,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,512,64490.0
48,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,256,40990.0
49,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,38990.0
50,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
51,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
52,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,58990.0
53,Others,Windows,DDR4,8,Intel,Intel,1,14.0,512,59990.0
54,acer,Windows,DDR4,8,Intel,Others,1,15.6,512,47990.0
55,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,37499.0
56,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
57,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
58,ASUS,Windows,DDR4,8,AMD,Others,1,,1024,94990.0
59,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,512,32990.0
60,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
61,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
62,ASUS,Windows,DDR4,4,Intel,Intel,1,14.0,256,23990.0
63,HP,Windows,DDR4,16,AMD,AMD,1,14.0,512,48990.0
64,APPLE,Mac,,8,Others,Others,1,,512,139990.0
65,ASUS,Windows,DDR4,16,AMD,AMD,1,,512,89990.0
66,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
67,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
68,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,1024,59990.0
69,DELL,Windows,DDR4,16,AMD,NVIDIA,1,15.6,512,70990.0
70,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
71,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
72,Infinix,Windows,Others,8,Intel,Intel,1,14.0,256,22990.0
73,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,46990.0
74,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,50990.0
75,Infinix,Windows,Others,8,Intel,Others,1,14.0,256,28990.0
76,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
77,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
78,MSI,Windows,DDR4,16,Intel,Others,2,15.6,512,84990.0
79,APPLE,Mac,,16,Others,Others,1,14.0,512,181990.0
80,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
81,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
82,MSI,Windows,DDR4,16,AMD,Others,1,15.6,1024,109990.0
83,Others,Windows,Others,4,Others,Others,1,,128,32990.0
84,Infinix,Windows,Others,16,Intel,Others,1,,512,37990.0
85,APPLE,Mac,,8,Others,Others,1,,512,139990.0
86,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
87,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
88,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,256,29990.0
89,Lenovo,Others,DDR4,4,Intel,Others,1,,128,19490.0
90,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
91,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,512,73490.0
92,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,1024,52990.0
93,HP,Windows,DDR4,8,Intel,Others,1,,512,41890.0
94,DELL,Windows,DDR4,8,Intel,Intel,1,15.6,256,30428.0
95,acer,Windows,DDR4,8,Intel,Others,1,,512,34990.0
